Name,Team,Position,Minutes Played,Goals,Assists,Shots,Shots On Target,Fouls Won,MAX
Drew Hardin,California Baptist,Midfielder,664,2,0,14,6,11,61
Diego Martinez,Le Moyne,Midfielder,685,0,0,6,0,10,61
Sam Carrias,Central Conn. St.,Defender,924,0,0,1,0,23,61
Yanis Lakhlifi,UMass Lowell,Forward,702,5,1,24,14,17,61
Mathias Love Groth,UAB,Midfielder,792,1,1,7,2,2,61
Evan Jones,Holy Cross,Forward,1021,6,2,18,8,13,61
Curtis Dunn,Houston Christian,Midfielder,707,0,0,7,2,4,61
Harry Scarborough,Providence,Forward,755,2,1,18,6,25,61
Mason Christian,Howard,Forward,756,6,1,19,12,3,61
Kevin Payne,Niagara,Defender,772,1,1,7,3,8,61
George Medill,Temple,Midfielder,742,1,0,12,5,6,61
Nic Parker,Wofford,Midfielder,636,0,1,14,5,16,61
Thomas Raimbault,Wisconsin,Forward,730,3,2,11,7,11,61
Lincoln Ulrich,Coastal Carolina,Defender,699,1,1,4,3,1,61
Nathan Colley,Cal Poly,Midfielder,668,1,0,7,2,4,61
